Symbol,Company Name,Security Type,Security Price,Sector,Industry,Sub-Industry,Market Capitalization,% Price Change Today,Equity Summary Score from StarMine from Refinitiv
CDXI,Cardax Inc,Common Stock,1.26,Health Care,Pharmaceuticals,Pharmaceuticals,$1.01M,,
CHMJF,Chemistree Technology Inc,Common Stock,0.0412,Health Care,Pharmaceuticals,Pharmaceuticals,$1.56M,3,
ENDV,Endonovo Therapeutics Inc,Common Stock,0.02865,Health Care,Biotechnology,Biotechnology,$1.68M,3.05755,
CAPS,Capstone Therapeutics Corp,Common Stock,36.01,Health Care,Biotechnology,Biotechnology,$1.94M,,
RSPI,RespireRx Pharmaceuticals Inc,Common Stock,0.0225,Health Care,Pharmaceuticals,Pharmaceuticals,$2.60M,-22.41379,
KDCE,Kid Castle Educational Corp,Common Stock,0.003,Health Care,Pharmaceuticals,Pharmaceuticals,$2.77M,,
RASP,Rasna Therapeutics Inc,Common Stock,0.05,Health Care,Biotechnology,Biotechnology,$3.45M,,
SGBI,Sangui Biotech International Inc,Common Stock,0.0168,Health Care,Biotechnology,Biotechnology,$3.48M,,
KAYS,Kaya Holdings Inc,Common Stock,0.2845,Health Care,Pharmaceuticals,Pharmaceuticals,$3.75M,9.42308,
POTVF,Potent Ventures Inc,Common Stock,0.0389,Health Care,Pharmaceuticals,Pharmaceuticals,$3.80M,-17.84583,
NPTX,Neuropathix Inc,Common Stock,0.0482,Health Care,Pharmaceuticals,Pharmaceuticals,$3.84M,10.55046,
ISCO,International Stem Cell Corp,Common Stock,0.51,Health Care,Biotechnology,Biotechnology,$4.21M,-5.99078,
NXEN,Nexien BioPharma Inc,Common Stock,0.081,Health Care,Pharmaceuticals,Pharmaceuticals,$4.70M,-4.25532,
FNNZF,FinCanna Capital Corp,Common Stock,0.0471,Health Care,Pharmaceuticals,Pharmaceuticals,$4.87M,-4.55927,
VNNYF,Vinergy Capital Inc,Common Stock,0.0679,Health Care,Pharmaceuticals,Pharmaceuticals,$4.98M,5.27132,
LVCLY,Living Cell Technologies Ltd,Depository Receipt,0.1,Health Care,Biotechnology,Biotechnology,$5.71M,,
QRON,Qrons Inc,Common Stock,0.44,Health Care,Biotechnology,Biotechnology,$5.85M,0,
IPCIF,IntelliPharmaCeutics International Inc,Common Stock,0.1605,Health Care,Pharmaceuticals,Pharmaceuticals,$5.96M,-10.83333,
WPHM,Winston Pharmaceuticals Inc,Common Stock,0.08,Health Care,Pharmaceuticals,Pharmaceuticals,$6.19M,,
BIOIF,Biome Grow Inc,Common Stock,0.06144,Health Care,Pharmaceuticals,Pharmaceuticals,$6.38M,7.41259,
