Ticker,Company,Type,Price,Market Cap,urls,Description,Phase 3 Ready,Phase 2b Ready,alzheimer
CDXI,Cardax Inc,Common Stock,1.26,$1.01M,https://finance.yahoo.com/quote/CDXI/profile?p=CDXI,"Cardax, Inc., a biopharmaceutical company, develops and commercializes dietary supplements for inflammatory health and pharmaceuticals for chronic diseases driven by inflammation and oxidative stress. It offers ZanthoSyn, an inflammatory supplement for health and longevity that provides astaxanthin with enhanced absorption and purity. The company sells ZanthoSyn primarily through e-commerce and wholesale channels. It is also developing CDX-101, an astaxanthin pharmaceutical candidate for cardiovascular inflammation and dyslipidemia, with a target indication of severe hypertriglyceridemia; and CDX-301, a zeaxanthin pharmaceutical candidate for macular degeneration. Cardax, Inc. is based in Honolulu, Hawaii.",0,0,0
CHMJF,Chemistree Technology Inc,Common Stock,0.0412,$1.56M,https://finance.yahoo.com/quote/CHMJF/profile?p=CHMJF,"Chemistree Technology Inc., an investment company, operates in the cannabis sector in the United States. The company was formerly known as Whattozee Networks Inc. and changed its name to Chemistree Technology Inc. in August 2017. Chemistree Technology Inc. was incorporated in 2008 and is headquartered in North Vancouver, Canada.",0,0,0
ENDV,Endonovo Therapeutics Inc,Common Stock,0.02865,$1.68M,https://finance.yahoo.com/quote/ENDV/profile?p=ENDV,"Endonovo Therapeutics, Inc., a biotechnology company, develops, manufactures, and distributes non-invasive electroceutical medical devices for regenerative medicine. The company offers SofPulse, a non-invasive electroceutical therapeutic device for the palliative treatment of soft tissue injuries, chronic wounds, and post-operative pain and edema. Its electrocuetical medical devices are also used for the treatment of inflammation, wounds, cardiovascular diseases, chronic kidney diseases, liver diseases, non-alcoholic steatohepatitis, peripheral artery diseases, and ischemic stroke, as well as for central nervous system disorders, such as traumatic brain injury, acute concussions, post- concussion syndrome, and multiple sclerosis. Endonovo Therapeutics, Inc. was founded in 2008 and is based in Woodland Hills, California.",0,0,0
CAPS,Capstone Therapeutics Corp,Common Stock,36.01,$1.94M,https://finance.yahoo.com/quote/CAPS/profile?p=CAPS,"Capstone Therapeutics Corp., a biotechnology company, develops novel peptides and other molecules for helping patients with under-served medical conditions in the United States. It develops Apo E mimetic peptide molecule AEM-28 and its analogs that have completed Phase Ia and Phase Ib/IIa clinical trials for lipoprotein metabolism. The company was formerly known as OrthoLogic Corp. and changed its name to Capstone Therapeutics Corp. in May 2010. Capstone Therapeutics Corp. was founded in 1987 and is headquartered in Tempe, Arizona.",0,0,0
RSPI,RespireRx Pharmaceuticals Inc,Common Stock,0.0225,$2.60M,https://finance.yahoo.com/quote/RSPI/profile?p=RSPI,"RespireRx Pharmaceuticals Inc. engages in the discovery, development, and commercialization of pharmaceuticals for the treatment of neurological and psychiatric disorders. It has two drug platforms comprising ResolutionRx, a pharmaceutical cannabinoids platform, which includes dronabinol that acts upon the nervous system's endogenous cannabinoid receptors for use in refractory chemotherapy-induced nausea and vomiting, as well as for anorexia in patients with AIDS; and EndeavourRx, a neuromodulators platform that comprises AMPAkines program, including proprietary compounds that are positive allosteric modulators (PAMs) of alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA)-type glutamate receptors to promote neuronal function, and GABAkines program, including proprietary compounds that are PAMs of GABAA receptors. The company's lead ampakine, CX1739, which has completed Phase II clinical studies for opioid-induced respiratory depression (RD), as well as for central sleep apnea. It is also developing CX717, CX1739, and CX1942 that have clinical application in the treatment of CNS-driven neurobehavioral and cognitive disorders, SCI, neurological diseases, and orphan indications. The company was formerly known as Cortex Pharmaceuticals, Inc. and changed its name to RespireRx Pharmaceuticals Inc. in December 2015. RespireRx Pharmaceuticals Inc. was incorporated in 1987 and is headquartered in Glen Rock, New Jersey.",0,1,0
KDCE,Kid Castle Educational Corp,Common Stock,0.003,$2.77M,https://finance.yahoo.com/quote/KDCE/profile?p=KDCE,"Kid Castle Educational Corporation operates and manages a portfolio of biopharmaceutical, agricultural, and pureplay cannabidiol (CBD) assets in the United States of America. It extracts, purchases, and distributes bulk pure CBD, isolate, hemp oil, THC-free CBD distillate, and crude CBD Oil. The company was formerly known as King Ball International Technology Corporation and changed its name to Kid Castle Educational Corporation in August 2002. Kid Castle Educational Corporation was incorporated in 1985 and is headquartered in Torrance, California.",0,0,0
RASP,Rasna Therapeutics Inc,Common Stock,0.05,$3.45M,https://finance.yahoo.com/quote/RASP/profile?p=RASP,"Rasna Therapeutics, Inc., a leukemia-focused biotechnology company, engages in developing therapeutics for the treatment of acute myeloid leukemia (AML) and other forms of leukemia. It focuses on developing molecule drug candidates targeting NPM1 and LSD1, which are implicated in the disease progression of leukemia and lymphoma. The company is developing RASP-201 (LSD1), an enzyme that demethylates lysine side chain of histones; and RASP-301, an NPM1 gene that provides instructions for making nucleophosmin protein. Rasna Therapeutics, Inc. was founded in 2013 and is headquartered in New York, New York.",0,0,0
SGBI,Sangui Biotech International Inc,Common Stock,0.0168,$3.48M,https://finance.yahoo.com/quote/SGBI/profile?p=SGBI,"Sangui Biotech International, Inc., through its subsidiary, Sangui BioTech GmbH, develops hemoglobin-based artificial oxygen carriers for use as blood additives, blood volume substitutes, and variant products. The company's artificial oxygen carriers provide oxygen transport in humans in the event of acute and/or chronic lack of oxygen due to arterial occlusion, anemia, or blood loss, as well as chronic wounds. It also offers nano formulations for the regeneration of skin, including skin moisturization and enhanced skin elasticity; Chitoskin wound pads for supporting wound healing; and Hemospray wound spray, a medical product that is used for the healing of chronic wounds. The company sells its wound spray products under the Granulox brand name primarily in Europe and Mexico; and cosmetics products through internet shop. Sangui Biotech International, Inc. was incorporated in 1995 and is headquartered in Hamburg, Germany.",0,0,0
KAYS,Kaya Holdings Inc,Common Stock,0.2845,$3.75M,https://finance.yahoo.com/quote/KAYS/profile?p=KAYS,"Kaya Holdings, Inc., a vertically integrated legal marijuana enterprise, produces, distributes, and/or sells a range of cannabis products in the United States. The company offers flower, oils, vape cartridges and cannabis infused confections, baked goods, and beverages. It also operates two retail outlets under the Kaya Shack brand name, as well as offers strain specific cannabis cigarettes under the Kaya Buddies name, and strains of cannabis under the Kaya Farms name. The company also provides standing display cases with cannabis intended glassware under the Really Happy Glass brand; and t-shirt designs under the Kaya Gear brand name. The company was formerly known as Alternative Fuels America, Inc. and changed its name to Kaya Holdings, Inc. in April 2015. Kaya Holdings, Inc. was incorporated in 1993 and is headquartered in Fort Lauderdale, Florida.",0,0,0
POTVF,Potent Ventures Inc,Common Stock,0.0389,$3.80M,https://finance.yahoo.com/quote/POTVF/profile?p=POTVF,"Potent Ventures Inc. sells branded cannabis packaging. It offers its products through Wknd! and Orchard Heights brand name. The company was formerly known as Weekend Unlimited Industries Inc. and changed its name to Potent Ventures Inc. in April 2021. Potent Ventures Inc. is based in Vancouver, Canada.",0,0,0
